rec_yds_per_g,gs,rec_yds_per_rec,g,rec_long,rec_td,age,year,catch_pct,pos,rec_yds_per_tgt,fumbles,player,team,rec,rec_yds,rec_per_g,targets
0.3,0,5.0,15,5,0,28,2006,100.0%,,5.0,1,Dee Brown,KAN,1,5,0.1,1
9.0,0,9.0,1,9,0,23,2006,100.0%,,9.0,0,Will Buchanon,OAK,1,9,1.0,1
0.1,4,1.0,16,1,0,24,2006,100.0%,te/wr,1.0,0,Kevin Everett,BUF,1,1,0.1,1
0.3,0,4.0,16,4,0,26,2006,25.0%,,1.0,0,Earnest Graham,TAM,1,4,0.1,4
-0.3,16,-4.0,16,-4,0,26,2006,100.0%,QB,-4.0,8,Rex Grossman,CHI,1,-4,0.1,1
0.0,16,0.0,16,0,0,23,2006,100.0%,cb/LCB,0.0,1,DeAngelo Hall,ATL,1,0,0.1,1
1.4,0,10.0,7,10,0,27,2006,100.0%,,10.0,0,Kay-Jay Harris,STL,1,10,0.1,1
0.3,0,3.0,11,3,0,22,2006,50.0%,,1.5,0,Glenn Holt,CIN,1,3,0.1,2
0.6,0,7.0,11,7,0,27,2006,50.0%,,3.5,0,Doug Jolley,TAM,1,7,0.1,2
2.3,1,9.0,4,9,0,24,2006,33.3%,wr,3.0,0,Kelvin Kight,NWE,1,9,0.3,3
0.1,0,1.0,12,1,1,23,2006,25.0%,,0.3,0,Jeff King,CAR,1,1,0.1,4
0.2,0,2.0,10,2,1,25,2006,100.0%,,2.0,0,Dan Klecko,IND,1,2,0.1,1
0.3,0,1.0,3,1,0,36,2006,50.0%,,0.5,0,Brian Kozlowski,WAS,1,1,0.3,2
1.7,0,15.0,9,15,0,24,2006,100.0%,,15.0,0,John Kuhn,PIT,1,15,0.1,1
2.4,0,17.0,7,17,0,25,2006,50.0%,,8.5,0,Nate Lawrie,NOR,1,17,0.1,2
1.3,0,5.0,4,5,0,31,2006,100.0%,,5.0,0,Derrick Lewis,HOU,1,5,0.3,1
2.5,0,10.0,4,10,0,27,2006,50.0%,,5.0,0,Corey McIntyre,NOR,1,10,0.3,2
0.7,0,9.0,13,9,0,37,2006,100.0%,,9.0,1,Dave Moore,TAM,1,9,0.1,1
2.5,0,10.0,4,10,0,23,2006,33.3%,,3.3,0,Lance Moore,NOR,1,10,0.3,3
0.4,0,4.0,9,4,1,31,2006,100.0%,,4.0,0,Ryan Neufeld,BUF,1,4,0.1,1
1.4,0,11.0,8,11,0,28,2006,50.0%,,5.5,0,Josh Parry,SEA,1,11,0.1,2
5.0,0,25.0,5,25,0,32,2006,25.0%,,6.3,0,David Patten,WAS,1,25,0.2,4
4.8,0,19.0,4,19,0,28,2006,25.0%,,4.8,0,Jerry Porter,OAK,1,19,0.3,4
0.7,0,6.0,9,6,0,23,2006,100.0%,,6.0,0,Eric Shelton,CAR,1,6,0.1,1
0.5,0,6.0,11,6,0,32,2006,100.0%,,6.0,0,Jerald Sowell,TAM,1,6,0.1,1
0.1,16,1.0,16,1,0,26,2006,100.0%,QB,1.0,9,Michael Vick,ATL,1,1,0.1,1
3.0,1,6.0,2,6,0,24,2006,100.0%,te,6.0,0,Cooper Wallace,TEN,1,6,0.5,1
0.3,0,4.0,14,4,1,28,2006,33.3%,,1.3,0,Todd Yoder,WAS,1,4,0.1,3
8.5,0,17.0,2,17,0,27,2006,100.0%,,17.0,0,Walter Young,PIT,1,17,0.5,1
71.4,15,10.2,16,42,12,30,2007,66.3%,WR,6.8,2,T.J. Houshmandzadeh,CIN,112,1143,7.0,169
73.4,13,10.5,16,42,8,26,2007,77.2%,WR,8.1,3,Wes Welker,NWE,112,1175,7.0,145
94.4,16,14.5,16,64,10,29,2007,66.7%,WR,9.7,3,Reggie Wayne,IND,104,1510,6.5,156
67.9,16,10.6,16,79,5,33,2007,62.8%,WR,6.6,1,Derrick Mason,BAL,103,1087,6.4,164
82.8,16,13.0,16,68,7,23,2007,60.0%,WR,7.8,3,Brandon Marshall,DEN,102,1325,6.4,170
93.9,15,14.1,15,48,10,24,2007,59.9%,WR,8.4,3,Larry Fitzgerald,ARI,100,1409,6.7,167
73.3,16,11.8,16,31,5,31,2007,64.7%,TE,7.7,0,Tony Gonzalez,KAN,99,1172,6.2,153
75.1,14,12.3,16,45,11,24,2007,68.5%,WR,8.4,1,Marques Colston,NOR,98,1202,6.1,143
93.3,16,15.2,16,65,23,30,2007,61.3%,WR,9.3,0,Randy Moss+,NWE,98,1493,6.1,160
71.6,16,11.9,16,53,7,25,2007,68.1%,TE,8.1,1,Jason Witten+,DAL,96,1145,6.0,141
71.7,13,12.2,16,49,6,34,2007,70.1%,WR,8.6,1,Bobby Engram,SEA,94,1147,5.9,134
74.3,16,12.8,16,40,7,31,2007,62.4%,WR,8.0,2,Torry Holt,STL,93,1189,5.8,149
90.0,16,15.5,16,70,8,29,2007,57.8%,WR,8.9,2,Chad Johnson,CIN,93,1440,5.8,161
51.4,15,8.6,15,57,5,28,2007,76.3%,RB,6.5,2,Brian Westbrook+,PHI,90,771,6.0,118
66.8,15,11.5,15,74,7,28,2007,58.8%,WR,6.8,1,Steve Smith,CAR,87,1002,5.8,148
75.1,15,14.5,16,69,6,26,2007,60.6%,WR,8.8,3,Roddy White,ATL,83,1202,5.2,137
75.3,15,13.8,15,50,2,25,2007,64.6%,WR,8.9,1,Jerricho Cotchery,NYJ,82,1130,5.5,127
69.9,14,12.8,15,47,2,32,2007,67.2%,WR,8.6,1,Donald Driver,GNB,82,1048,5.5,122
69.1,14,13.5,16,49,5,24,2007,55.4%,TE,7.5,2,Kellen Winslow,CLE,82,1106,5.1,148
90.3,15,16.7,15,52,15,34,2007,57.4%,WR,9.6,0,Terrell Owens+,DAL,81,1355,5.4,141
80.6,16,16.1,16,78,16,24,2007,51.9%,WR,8.4,3,Braylon Edwards,CLE,80,1289,5.0,154
58.9,7,11.9,16,49,6,26,2007,62.2%,wr,7.4,3,Shaun McDonald,DET,79,943,4.9,127
69.4,16,14.4,16,75,6,29,2007,57.0%,WR,8.2,0,Kevin Curtis,PHI,77,1110,4.8,135
61.5,16,13.1,16,49,9,27,2007,64.1%,TE,8.4,0,Antonio Gates,SDG,75,984,4.7,117
34.8,10,5.7,12,25,2,22,2007,74.5%,RB/wr,4.3,8,Reggie Bush,NOR,73,417,6.1,98
59.4,15,13.4,16,59,5,27,2007,55.5%,WR,7.4,1,Bernard Berrian,CHI,71,951,4.4,128
71.1,11,12.0,12,44,9,27,2007,71.7%,WR,8.6,2,Anquan Boldin,ARI,71,853,5.9,99
56.3,13,10.3,13,25,7,31,2007,62.8%,fl/WR,6.5,0,Hines Ward,PIT,71,732,5.5,113
62.2,15,14.2,16,58,5,23,2007,60.3%,WR,8.6,0,Dwayne Bowe,KAN,70,995,4.4,116
64.1,16,14.6,16,60,12,30,2007,49.6%,WR,7.3,0,Plaxico Burress,NYG,70,1025,4.4,141
60.6,12,14.7,16,44,4,29,2007,51.2%,,7.5,1,Chris Chambers,2TM,66,970,4.1,129
49.1,16,11.9,16,39,8,25,2007,60.0%,TE,7.1,1,Chris Cooley,WAS,66,786,4.1,110
50.0,15,12.3,16,46,4,26,2007,61.3%,WR,7.5,0,Kevin Walter,HOU,65,800,4.1,106
69.8,12,13.1,12,91,5,26,2007,61.0%,WR,8.0,2,Roy Williams,DET,64,838,5.3,105
48.0,16,12.2,16,29,3,25,2007,67.0%,TE,8.2,4,Owen Daniels,HOU,63,768,3.9,94
48.1,10,11.6,15,56,1,31,2007,72.1%,WR,8.4,3,Ike Hilliard,TAM,62,722,4.1,86
48.8,14,12.8,16,45,4,26,2007,55.0%,WR,7.0,1,Reggie Brown,PHI,61,780,3.8,111
41.5,10,10.9,16,49,1,30,2007,67.0%,WR,7.3,0,Mike Furrey,DET,61,664,3.8,91
57.7,14,13.2,14,49,3,28,2007,53.0%,WR,7.0,2,Santana Moss,WAS,61,808,4.4,115
94.6,9,14.2,9,77,8,26,2007,69.8%,WR,9.9,1,Andre Johnson,HOU,60,851,6.7,86
29.7,16,7.9,16,36,3,28,2007,69.8%,RB,5.5,0,LaDainian Tomlinson+,SDG,60,475,3.8,86
47.5,15,12.9,16,40,3,33,2007,56.7%,WR,7.3,0,Amani Toomer,NYG,59,760,3.7,104
41.1,15,10.6,15,39,11,28,2007,57.4%,TE,6.1,0,Dallas Clark,IND,58,616,3.9,101
67.6,15,17.8,15,69,6,36,2007,58.2%,WR,10.3,0,Joey Galloway,TAM,57,1014,3.8,98
44.2,14,10.9,14,29,3,27,2007,61.3%,TE,6.7,0,Jeremy Shockey,NYG,57,619,4.1,93
52.4,12,13.3,14,37,4,35,2007,54.5%,WR,7.3,0,Isaac Bruce,STL,55,733,3.9,101
53.8,10,11.7,12,57,6,30,2007,61.8%,WR,7.3,0,Laveranues Coles,NYJ,55,646,4.6,89
