year,player,team,age,pos,g,gs,punt_ret,punt_ret_yds,punt_ret_td,punt_ret_long,punt_ret_yds_per_ret,kick_ret,kick_ret_yds,kick_ret_td,kick_ret_long,kick_ret_yds_per_ret,all_purpose_yds
2018,Robby Anderson,NYJ,25,WR,14,9,,,,,,1,13,0,13,13.0,757
2018,Jerome Baker,MIA,22,LB,16,11,1,0,0,0,0.0,,,,,,25
2018,Blake Bell,JAX,27,te,10,4,,,,,,1,9,0,9,9.0,76
2018,Alfred Blue,HOU,27,rb,16,2,,,,,,1,13,0,13,13.0,666
2018,Tommy Bohanon,JAX,28,fb,16,6,,,,,,1,25,0,25,25.0,66
2018,,,,,,,,,,,,,,,,,
2018,Terrence Brooks,NYJ,26,,16,0,1,0,0,0,0.0,,,,,,0
2018,Trenton Cannon,NYJ,24,,16,0,,,,,,1,20,0,20,20.0,277
2018,Orson Charles,CLE,27,te,13,2,,,,,,1,12,0,12,12.0,35
2018,Marqui Christian,LAR,24,,16,0,1,11,0,11,11.0,,,,,,11
2018,Chris Conley,KAN,26,WR,16,13,,,,,,1,5,0,5,5.0,340
2018,Dane Cruikshank,TEN,23,,12,0,,,,,,1,39,0,39,39.0,105
2018,Matthew Dayes,SFO,24,,7,0,,,,,,1,17,0,17,17.0,17
2018,James Develin,NWE,30,fb/rb/te,16,8,,,,,,1,15,0,15,15.0,84
2018,Bruce Ellington,2TM,27,,7,3,1,0,0,0,0.0,,,,,,226
2018,Ted Ginn,NOR,33,wr,5,3,,,,,,1,1,0,1,1.0,236
2018,Corey Grant,JAX,27,rb,5,1,,,,,,1,6,0,6,6.0,113
2018,Demetrius Harris,KAN,27,te,15,3,,,,,,1,11,0,11,11.0,175
2018,Brian Hill,ATL,23,,10,0,,,,,,1,16,0,16,16.0,182
2018,T.Y. Hilton,IND,29,WR,14,14,1,2,0,2,2.0,,,,,,1272
2018,Derwin James*+,LAC,22,S,16,16,,,,,,1,20,0,20,20.0,50
2018,Andy Janovich,DEN,25,fb,16,7,,,,,,1,8,0,8,8.0,125
2018,Marcus Johnson,IND,24,,5,0,,,,,,1,23,0,23,23.0,123
2018,Bronson Kaufusi,NYJ,27,,3,0,,,,,,1,0,0,0,0.0,0
2018,Kevin King,GNB,23,cb,6,6,1,0,0,0,0.0,,,,,,0
2018,Cooper Kupp,LAR,25,WR,8,8,1,4,0,4,4.0,,,,,,595
2018,Matt LaCosse,DEN,26,te,15,5,,,,,,1,10,0,10,10.0,260
2018,Zach Line,NOR,28,fb,16,6,,,,,,1,16,0,16,16.0,71
2018,Tyrann Mathieu,HOU,26,cb/S,16,16,1,6,0,6,6.0,,,,,,22
2018,Riley McCarron,NWE,25,,1,0,1,0,0,0,0.0,,,,,,0
2018,J.D. McKissic,SEA,25,,5,0,,,,,,1,18,0,18,18.0,26
2018,Quenton Meeks,JAX,22,rcb,8,1,1,1,0,1,1.0,,,,,,1
