year,player,team,age,pos,g,gs,fga1,fgm1,fga2,fgm2,fga3,fgm3,fga4,fgm4,fga5,fgm5,fga,fgm,fg_perc,xpa,xpm,xp_perc,punt,punt_yds,punt_long,punt_blocked,punt_yds_per_punt
2017,Stephen Hauschka,BUF,32,K,16,0,,,6,6,9,9,9,7,9,7,33,29,87.9%,29,29,100.0%,,,,,
2017,Brandon McManus,DEN,26,K,16,0,,,8,6,12,11,6,4,6,3,32,24,75.0%,27,27,100.0%,1,26,26,0,26.0
2017,Jake Elliott,PHI,22,K,15,0,,,5,5,7,4,13,12,6,5,31,26,83.9%,42,39,92.9%,,,,,
2017,Chandler Catanzaro,NYJ,26,K,16,0,1,1,6,6,4,4,17,12,2,2,30,25,83.3%,29,29,100.0%,,,,,
2017,Graham Gano,CAR,30,K,16,0,,,8,8,11,11,10,10,1,,30,29,96.7%,37,34,91.9%,,,,,
2017,Blair Walsh,SEA,27,K,16,0,,,6,6,10,7,12,8,1,,29,21,72.4%,38,37,97.4%,,,,,
2017,Ka'imi Fairbairn,HOU,23,K,16,0,,,4,3,10,8,7,6,4,3,25,20,80.0%,35,32,91.4%,,,,,
2017,Aldrick Rosas,NYG,23,K,16,0,,,8,8,5,3,9,4,3,3,25,18,72.0%,23,20,87.0%,,,,,
2017,Patrick Murray,TAM,26,K,12,0,,,5,5,8,8,5,4,5,2,23,19,82.6%,22,21,95.5%,,,,,
2017,Cody Parkey,MIA,25,K,16,0,,,6,6,8,8,7,6,2,1,23,21,91.3%,29,26,89.7%,,,,,
2017,Giorgio Tavecchio,OAK,27,K,16,0,,,5,5,7,5,5,3,4,3,21,16,76.2%,34,33,97.1%,,,,,
2017,Zane Gonzalez,CLE,22,K,16,0,,,5,5,6,4,6,4,3,2,20,15,75.0%,26,25,96.2%,1,16,16,0,16.0
2017,Dan Bailey,DAL,29,K,12,0,1,1,4,3,5,4,5,4,5,3,20,15,75.0%,28,26,92.9%,,,,,
2017,Randy Bullock,CIN,28,K,15,0,,,6,6,8,7,5,4,1,1,20,18,90.0%,33,31,93.9%,,,,,
2017,Josh Lambo,JAX,27,K,10,0,,,2,2,11,11,5,4,2,2,20,19,95.0%,24,22,91.7%,,,,,
2017,Mason Crosby,GNB,33,K,16,0,,,8,8,4,2,4,4,3,1,19,15,78.9%,35,33,94.3%,,,,,
