year,player,team,age,pos,g,gs,targets,rec,catch_pct,rec_yds,rec_yds_per_rec,rec_td,rec_long,rec_yds_per_tgt,rec_per_g,rec_yds_per_g,fumbles
2018,Alfred Morris,SFO,30,rb,12,1,13,8,61.5%,73,9.1,0,16,5.6,0.7,6.1,2
2018,Nick O'Leary,MIA,26,te,12,7,10,8,80.0%,86,10.8,1,19,8.6,0.7,7.2,0
2018,Elijhaa Penny,NYG,25,rb,14,3,9,8,88.9%,50,6.3,0,16,5.6,0.6,3.6,0
2018,Anthony Sherman,KAN,30,fb,16,1,9,8,88.9%,96,12.0,1,36,10.7,0.5,6.0,0
2018,Erik Swoope,IND,26,te,7,2,10,8,80.0%,87,10.9,3,26,8.7,1.1,12.4,0
2018,Eric Tomlinson,NYJ,26,TE,15,12,14,8,57.1%,72,9.0,0,24,5.1,0.5,4.8,0
2018,Josh Adams,PHI,22,rb,14,5,13,7,53.8%,58,8.3,0,13,4.5,0.5,4.1,1
2018,Mo Alie-Cox,IND,25,te,9,1,13,7,53.8%,133,19.0,2,34,10.2,0.8,14.8,0
2018,Antony Auclair,TAM,25,TE,16,10,8,7,87.5%,48,6.9,0,12,6.0,0.4,3.0,0
2018,Derek Carrier,OAK,28,te,16,2,12,7,58.3%,67,9.6,1,23,5.6,0.4,4.2,0
2018,Ronald Jones,TAM,21,,9,0,9,7,77.8%,33,4.7,0,15,3.7,0.8,3.7,0
2018,T.J. Logan,ARI,24,,10,0,7,7,100.0%,37,5.3,0,17,5.3,0.7,3.7,0
2018,Sony Michel,NWE,23,RB,13,8,11,7,63.6%,50,7.1,0,13,4.5,0.5,3.8,1
2018,JJ Nelson,ARI,26,wr,14,2,19,7,36.8%,64,9.1,0,17,3.4,0.5,4.6,0
2018,Zach Zenner,DET,27,rb,8,1,10,7,70.0%,56,8.0,0,30,5.6,0.9,7.0,0
2018,Kamar Aiken,PHI,29,wr,5,1,7,6,85.7%,53,8.8,0,18,7.6,1.2,10.6,0
2018,Tommy Bohanon,JAX,28,fb,16,6,9,6,66.7%,41,6.8,0,12,4.6,0.4,2.6,0
2018,Brice Butler,2TM,28,,8,1,10,6,60.0%,60,10.0,1,23,6.0,0.8,7.5,0
2018,Kenneth Dixon,BAL,24,,6,0,7,6,85.7%,51,8.5,0,21,7.3,1.0,8.5,2
2018,Russell Gage,ATL,22,,15,0,10,6,60.0%,63,10.5,0,22,6.3,0.4,4.2,0
2018,Rashad Greene,JAX,26,wr,8,1,8,6,75.0%,60,10.0,0,12,7.5,0.8,7.5,2
2018,Xavier Grimble,PIT,26,te,16,2,8,6,75.0%,86,14.3,0,23,10.8,0.4,5.4,1
2018,David Grinnage,JAX,24,te,4,2,8,6,75.0%,61,10.2,0,24,7.6,1.5,15.3,0
2018,Dwayne Harris,OAK,31,wr,15,1,6,6,100.0%,40,6.7,0,13,6.7,0.4,2.7,2
2018,Marcus Johnson,IND,24,,5,0,8,6,75.0%,102,17.0,1,34,12.8,1.2,20.4,0
2018,Raheem Mostert,SFO,26,,9,0,7,6,85.7%,25,4.2,0,23,3.6,0.7,2.8,1
2018,Durham Smythe,MIA,23,te,15,2,11,6,54.5%,50,8.3,0,21,4.5,0.4,3.3,0
2018,Neal Sterling,NYJ,26,te,5,4,8,6,75.0%,47,7.8,0,12,5.9,1.2,9.4,0
2018,Darren Waller,OAK,26,,4,0,6,6,100.0%,75,12.5,0,44,12.5,1.5,18.8,0
2018,Jay Ajayi,PHI,25,rb,4,3,6,5,83.3%,20,4.0,0,12,3.3,1.3,5.0,1
2018,C.J. Anderson,2TM,27,,11,3,9,5,55.6%,41,8.2,1,24,4.6,0.5,3.7,0
2018,Malcolm Brown,LAR,25,,12,0,7,5,71.4%,52,10.4,1,18,7.4,0.4,4.3,0
